key
airbyte:AAI - PG_SI_APP - SNOW_RAW_STATUS_INVEST
airbyte:ASSETS - PG_SI_APP_READER - SNOW_RAW_STATUS_INVEST
airbyte:Amazon SQS - SUBSCRIBER_EVENTS → S3 - SQS - CSV
airbyte:BASE - PG_SI_APP_APP_READER - SNOW_RAW_STATUS_INVEST
airbyte:BDRS - PG_SI_APP_READER - SNOW_RAW_STATUS_INVEST
airbyte:BONDS - PG_SI_APP_APP_READER - SNOW_RAW_STATUS_INVEST
airbyte:BigQuery → Snowflake - RAW_MARKETING - GA4
airbyte:CONSULTORIA - AuC Assessoria → Snowflake - Cadastro Consultoria
airbyte:CRYPTOCOINS - PG_SI_APP_APP_READER - SNOW_RAW_STATUS_INVEST
airbyte:CURRENCY - PG_SI_APP_APP_READER - SNOW_RAW_STATUS_INVEST
airbyte:ETF - PG_SUNO_APP_READER - SNOW_RAW_SUNO_LEGADO
airbyte:FIAGRO - PG_SI_APP_APP_READER - SNOW_RAW_STATUS_INVEST
airbyte:FIIS - PG_SUNO_SI_APP_READER - SNOW_RAW_SUNO_LEGADO
airbyte:FUNDOSINVESTIMENTOS - PG_SI_APP_READER - SNOW_RAW_STATUS_INVEST
airbyte:Facebook Marketing - Suno Research → Snowflake - MIDIAS_PAGAS
airbyte:Google Ads → Snowflake - RAW_MARKETING - GOOGLE_ADS
airbyte:Google Sheets - ASSET_LISTA_CRIS → Snowflake - RAW_SUNO_LEGADO - ASSET
airbyte:Google Sheets - AuC Consultoria Historica → Snowflake - RAW_SUNO_LEGADO - CONSULTORIA
airbyte:Google Sheets - BASE METAS MARKETING CAMPANHAS SETEMBRO → Snowflake - RAW_MARKETING - MARKETING
airbyte:Google Sheets - BASES CS4 - Acompanhamento Produção Emissão → Snowflake RAW_SUNO_LEGADO - ASSESSORIA
airbyte:Google Sheets - BASE_METAS MARKETING → Snowflake - RAW_MARKETING - MARKETING
airbyte:Google Sheets - BI Cotação USD → Snowflake RAW_SUNO_LEGADO - ASSESSORIA
airbyte:Google Sheets - BI METAS → Snowflake RAW_SUNO_LEGADO - ASSESSORIA
airbyte:Google Sheets - BI QTD_ASSESSORES → Snowflake RAW_SUNO_LEGADO - ASSESSORIA
airbyte:Google Sheets - Bases XP - Ajuste → Snowflake RAW_SUNO_LEGADO - ASSESSORIA
airbyte:Google Sheets - Bases XP SEGUROS → Snowflake RAW_SUNO_LEGADO - ASSESSORIA
airbyte:Google Sheets - CANAL VS LEAD → Snowflake - RAW_MARKETING - MARKETING
airbyte:Google Sheets - COMUNIDADE_VIVA_DIVIDENDOS_CONTATOS → Snowflake - RAW_MARKETING - MARKETING
airbyte:Google Sheets - Cadastro Consultoria → Snowflake
airbyte:Google Sheets - Clientes Consultoria → Snowflake - RAW_SUNO_LEGADO - CONSULTORIA
airbyte:Google Sheets - DE_PARA_PRODUCTS_HOTMART → Snowflake - RAW_SUNO_LEGADO - HOTMART
airbyte:Google Sheets - Equipe → Snowflake RAW_SUNO_LEGADO - ASSESSORIA
airbyte:Google Sheets - Fundos e Pares → Snowflake - RAW_MARKETING - MIDIAS
airbyte:Google Sheets - INSTAGRAM_VISAO_SEMANAL → Snowflake - RAW_MARKETING - MARKETING
airbyte:Google Sheets - LEADS_FUNIL_SUBFUNIL_DE_PARA → Snowflake - RAW_MARKETING - LEADS
airbyte:Google Sheets - LEAD_MAGNETS_TRACKING → Snowflake - RAW_MARKETING - MARKETING
airbyte:Google Sheets - MAGNET VS NEGÓCIO → Snowflake - RAW_MARKETING - MARKETING
airbyte:Google Sheets - META ANIVERSARIO 2025 → Snowflake - RAW_MARKETING - MARKETING
