nome_teste,entidade,resultado
date_range_date_exited_15875548,<#E::table::Suno SnowFlake.TRUSTED.CONSULTORIA_HUBSPOT.HUBSPOT_DEALS::columns::DATE_EXITED_15875548>,Aborted
date_range_date_exited_15875551,<#E::table::Suno SnowFlake.TRUSTED.CONSULTORIA_HUBSPOT.HUBSPOT_DEALS::columns::DATE_EXITED_15875551>,Aborted
date_range_dt_cancelamento,<#E::table::Suno SnowFlake.REFINED_STATUS_INVEST.ASSINATURAS.FATO_LIFECYCLE_ASSINATURAS_SI::columns::DT_CANCELAMENTO>,Aborted
date_range_dt_fim_assinatura,<#E::table::Suno SnowFlake.REFINED_STATUS_INVEST.ASSINATURAS.FATO_LIFECYCLE_ASSINATURAS_SI::columns::DT_FIM_ASSINATURA>,Aborted
date_range_dt_fim_produto_anterior,<#E::table::Suno SnowFlake.REFINED_STATUS_INVEST.ASSINATURAS.FATO_LIFECYCLE_ASSINATURAS_SI::columns::DT_FIM_PRODUTO_ANTERIOR>,Aborted
date_range_dt_inicio_assinatura,<#E::table::Suno SnowFlake.REFINED_STATUS_INVEST.ASSINATURAS.FATO_LIFECYCLE_ASSINATURAS_SI::columns::DT_INICIO_ASSINATURA>,Aborted
date_range_generated_at,<#E::table::Suno SnowFlake.REFINED_ADVISORY.WEALTH_LEGADO.VW_BTG_PL_TOTAL::columns::GENERATED_AT>,Sem execução
date_range_hs_v2_time_in_current_stage,<#E::table::Suno SnowFlake.TRUSTED.CONSULTORIA_HUBSPOT.HUBSPOT_DEALS::columns::HS_V2_TIME_IN_CURRENT_STAGE>,Aborted
date_range_lead_date_cast,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.DT_LEADS_SUNOCODE::columns::LEAD_DATE_CAST>,Aborted
date_range__loaded_at,<#E::table::Suno SnowFlake.REFINED_STATUS_INVEST.ASSINATURAS.FATO_LIFECYCLE_ASSINATURAS_SI::columns::_LOADED_AT>,Aborted
date_range_pedido_data,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.VW_VENDAS_POR_HORA_SUNOCODE::columns::PEDIDO_DATA>,Aborted
date_range_posicao_data,<#E::table::Suno SnowFlake.REFINED_ADVISORY.WEALTH_LEGADO.VW_BTG_PL_TOTAL::columns::POSICAO_DATA>,Aborted
date_range_primeiro_lead,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.DT_LEADS_SUNOCODE::columns::PRIMEIRO_LEAD>,Aborted
date_range_property_closedate,<#E::table::Suno SnowFlake.SERVING_LAYER.CONSULTORIA.FUNIL_ADVISORY::columns::PROPERTY_CLOSEDATE>,Aborted
date_range_reuniao_data_ultima_reuniao,<#E::table::Suno SnowFlake.TRUSTED.CONSULTORIA_HUBSPOT.HUBSPOT_DEALS::columns::REUNIAO_DATA_ULTIMA_REUNIAO>,Aborted
date_range_termino_do_atendimento,<#E::table::Suno SnowFlake.TRUSTED.CONSULTORIA_HUBSPOT.HUBSPOT_DEALS::columns::TERMINO_DO_ATENDIMENTO>,Aborted
date_range__updated_at,<#E::table::Suno SnowFlake.REFINED_STATUS_INVEST.ASSINATURAS.FATO_LIFECYCLE_ASSINATURAS_SI::columns::_UPDATED_AT>,Aborted
date_range_updatedat,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.DT_LEADS_SUNOCODE::columns::UPDATEDAT>,Aborted
dqsi003_ativo_sem_divergencia_status_core,<#E::table::Suno SnowFlake.REFINED_STATUS_INVEST.ASSINATURAS.FATO_LIFECYCLE_ASSINATURAS_SI>,Failed
dqsi004_match_rate_core_completude,<#E::table::Suno SnowFlake.REFINED_STATUS_INVEST.ASSINATURAS.FATO_LIFECYCLE_ASSINATURAS_SI>,Aborted
dqsi007_freshness_dt_inicio_assinatura,<#E::table::Suno SnowFlake.REFINED_STATUS_INVEST.ASSINATURAS.FATO_LIFECYCLE_ASSINATURAS_SI>,Success
dqsi009_regra_l0_oferta_padrao_nao_e_novo,<#E::table::Suno SnowFlake.REFINED_STATUS_INVEST.ASSINATURAS.FATO_LIFECYCLE_ASSINATURAS_SI>,Success
dqsi010_hotmart_source_id_formato,<#E::table::Suno SnowFlake.REFINED_STATUS_INVEST.ASSINATURAS.FATO_LIFECYCLE_ASSINATURAS_SI>,Success
dqsi011_email_lowercase_trim,<#E::table::Suno SnowFlake.REFINED_STATUS_INVEST.ASSINATURAS.FATO_LIFECYCLE_ASSINATURAS_SI::columns::CD_CLIENTE_EMAIL>,Failed
freshness_lead_date_cast,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.DT_LEADS_SUNOCODE>,Aborted
freshness_subscriptionstartdate,<#E::table::Suno SnowFlake.REFINED_GLOBAL.ASSINATURAS.DT_LIFECYCLE_SUBS_UN_TRUTH>,Success
in_set_assinatura_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_DEV.FATO_BASE_ASSINANTES::columns::ASSINATURA_STATUS>,Sem execução
in_set_assinatura_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_DEV.BASE_FOTO_CHURN_20241231::columns::ASSINATURA_STATUS>,Sem execução
in_set_assinatura_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_PROD.FATO_FREQUENCIA_DE_ACESSO_MOVIMENTACOES::columns::ASSINATURA_STATUS>,Sem execução
in_set_assinatura_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_PROD.VW_BASE_SAIDAS::columns::ASSINATURA_STATUS>,Sem execução
in_set_assinatura_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_PROD.FATO_SAIDAS::columns::ASSINATURA_STATUS>,Sem execução
in_set_assinatura_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_DEV.VW_BASE_FOTO_CHURN::columns::ASSINATURA_STATUS>,Sem execução
in_set_assinatura_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_PROD.FATO_TIMELINE::columns::ASSINATURA_STATUS>,Sem execução
in_set_assinatura_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_PROD.VW_ANALISE_RENOVACOES_COM_PAGAMENTO::columns::ASSINATURA_STATUS>,Sem execução
in_set_assinatura_status,<#E::table::Suno SnowFlake.SERVING_LAYER.SUNO_CORE.VW_MOVIMENTACOES_RENOVACOES::columns::ASSINATURA_STATUS>,Sem execução
in_set_assinatura_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_PROD.VW_ANALISE_RENOVACOES::columns::ASSINATURA_STATUS>,Sem execução
in_set_assinatura_status,<#E::table::Suno SnowFlake.SERVING_LAYER.CRM.VW_INFOS_CORE::columns::ASSINATURA_STATUS>,Sem execução
in_set_auditoria_produto_status,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.VW_VENDAS_HOTMART::columns::AUDITORIA_PRODUTO_STATUS>,Sem execução
in_set_auditoria_produto_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_PROD.VW_VENDAS_V2_260128::columns::AUDITORIA_PRODUTO_STATUS>,Sem execução
in_set_auditoria_produto_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_PROD.VW_VENDAS_V2_260227::columns::AUDITORIA_PRODUTO_STATUS>,Sem execução
in_set_auditoria_produto_status,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.VW_VENDAS_CORE::columns::AUDITORIA_PRODUTO_STATUS>,Sem execução
in_set_auditoria_produto_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_PROD.VW_VENDAS::columns::AUDITORIA_PRODUTO_STATUS>,Sem execução
in_set_auditoria_produto_status,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.VW_VENDAS_CORE_E_HOTMART_TEST_TIMESTAMP::columns::AUDITORIA_PRODUTO_STATUS>,Sem execução
in_set_auditoria_produto_status,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.VW_VENDAS_CORE_CONSULTORIA::columns::AUDITORIA_PRODUTO_STATUS>,Sem execução
in_set_auditoria_produto_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_PROD.VW_VENDAS_BKP_251212::columns::AUDITORIA_PRODUTO_STATUS>,Sem execução
in_set_auditoria_produto_status,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.VW_VENDAS_CORE_E_HOTMART::columns::AUDITORIA_PRODUTO_STATUS>,Sem execução
in_set_auditoria_produto_status,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.VW_VENDAS_EXTERNAS_CONSULTORIA::columns::AUDITORIA_PRODUTO_STATUS>,Sem execução
in_set_auditoria_produto_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_PROD.VW_VENDAS_NEW_GIO::columns::AUDITORIA_PRODUTO_STATUS>,Sem execução
in_set_auditoria_produto_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_PROD.VW_VENDAS_SEGMENTED::columns::AUDITORIA_PRODUTO_STATUS>,Sem execução
in_set_auditoria_produto_status,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.VW_VENDAS_CORE_E_HOTMART_TEST::columns::AUDITORIA_PRODUTO_STATUS>,Sem execução
in_set_auditoria_produto_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_PROD.VW_VENDAS_POR_HORA_EM_VALIDACAO::columns::AUDITORIA_PRODUTO_STATUS>,Sem execução
in_set_auditoria_produto_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_DEV.VW_VENDAS_SEGMENTED::columns::AUDITORIA_PRODUTO_STATUS>,Sem execução
in_set_cd_origem_compra,<#E::table::Suno SnowFlake.REFINED_STATUS_INVEST.ASSINATURAS.FATO_LIFECYCLE_ASSINATURAS_SI::columns::CD_ORIGEM_COMPRA>,Success
in_set_channel_group_vs_meta,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.VW_VENDAS_POR_HORA_SUNOCODE::columns::CHANNEL_GROUP_VS_META>,Aborted
in_set_classificacao_reembolso_motivo,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.VW_VENDAS_POR_HORA_SUNOCODE::columns::CLASSIFICACAO_REEMBOLSO_MOTIVO>,Aborted
in_set_client_status,<#E::table::Suno SnowFlake.SERVING_LAYER.ASSET.DT_COTISTAS_STATUS_RESEARCH::columns::CLIENT_STATUS>,Sem execução
in_set_client_status,<#E::table::Suno SnowFlake.SERVING_LAYER.ASSET.VW_COTISTAS_STATUS_RESEARCH::columns::CLIENT_STATUS>,Sem execução
in_set_ds_nivel_match,<#E::table::Suno SnowFlake.REFINED_STATUS_INVEST.ASSINATURAS.FATO_LIFECYCLE_ASSINATURAS_SI::columns::DS_NIVEL_MATCH>,Success
in_set_ds_tipo_entrada,<#E::table::Suno SnowFlake.REFINED_STATUS_INVEST.ASSINATURAS.FATO_LIFECYCLE_ASSINATURAS_SI::columns::DS_TIPO_ENTRADA>,Success
in_set_ds_tipo_receita_detalhe,<#E::table::Suno SnowFlake.REFINED_STATUS_INVEST.ASSINATURAS.FATO_LIFECYCLE_ASSINATURAS_SI::columns::DS_TIPO_RECEITA_DETALHE>,Success
in_set_fonte_classificacao_si,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.VW_VENDAS_POR_HORA_SUNOCODE::columns::FONTE_CLASSIFICACAO_SI>,Aborted
in_set_pedido_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_DEV.FATO_PEDIDOS_ITENS::columns::PEDIDO_STATUS>,Sem execução
in_set_pedido_status,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.VW_VENDAS_CORE::columns::PEDIDO_STATUS>,Sem execução
in_set_pedido_status,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.VW_VENDAS_CORE_E_HOTMART_TEST::columns::PEDIDO_STATUS>,Sem execução
in_set_pedido_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_PROD.VW_VENDAS_V2_260227::columns::PEDIDO_STATUS>,Sem execução
in_set_pedido_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_PROD.VW_VENDAS::columns::PEDIDO_STATUS>,Sem execução
in_set_pedido_status,<#E::table::Suno SnowFlake.REFINED_SUNO_CORE.SUNO_CORE_PROD.FATO_PEDIDOS_ITENS::columns::PEDIDO_STATUS>,Sem execução
