id,nome,responsavel,status_conexao,tipo_agendamento,frequencia,ultimo_status,ultima_execucao,taxa_sucesso_pct,execucoes_amostra,pulso,pulso_datas,url
c4fd546a-c5bb-442c-adde-dd0c0a8abeff,Google Sheets - Bases XP SEGUROS → Snowflake RAW_SUNO_LEGADO - ASSESSORIA,André Camacho,active,cron,0 0 11 * * ? America/Sao_Paulo,success,2026-08-31T14:00:03Z,100.0,466,success|success|success|success|success|success|success|success|success|success,2026-08-22T14:00:02Z|2026-08-23T14:00:03Z|2026-08-24T14:00:03Z|2026-08-25T14:00:03Z|2026-08-26T14:00Z|2026-08-27T14:00Z|2026-08-28T14:00:04Z|2026-08-29T14:00:04Z|2026-08-30T14:00:03Z|2026-08-31T14:00:03Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/c4fd546a-c5bb-442c-adde-dd0c0a8abeff/status
809885d2-aa39-414d-a4e5-c680bd445f8b,Google Sheets - Equipe → Snowflake RAW_SUNO_LEGADO - ASSESSORIA,André Camacho,active,cron,0 0 12 * * ? America/Sao_Paulo,success,2026-08-31T15:00:05Z,100.0,465,success|success|success|success|success|success|success|success|success|success,2026-08-22T15:00:04Z|2026-08-23T15:00:04Z|2026-08-24T15:00:05Z|2026-08-25T15:00:05Z|2026-08-26T15:00:02Z|2026-08-27T15:00:04Z|2026-08-28T15:00:05Z|2026-08-29T15:00:05Z|2026-08-30T15:00:05Z|2026-08-31T15:00:05Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/809885d2-aa39-414d-a4e5-c680bd445f8b/status
76041c8e-372a-48f6-8c6c-c8cd17ad5cde,Google Sheets - CANAL VS LEAD → Snowflake - RAW_MARKETING - MARKETING,Giovanni Vargas,active,cron,0 0 13 * * ? America/Sao_Paulo,success,2026-08-31T16:00:03Z,100.0,312,success|success|success|success|success|success|success|success|success|success,2026-08-22T16:00:03Z|2026-08-23T16:00:03Z|2026-08-24T16:00:03Z|2026-08-25T16:00:03Z|2026-08-26T16:00Z|2026-08-27T16:00:01Z|2026-08-28T16:00:04Z|2026-08-29T16:00:04Z|2026-08-30T16:00:04Z|2026-08-31T16:00:03Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/76041c8e-372a-48f6-8c6c-c8cd17ad5cde/status
6f8f89d8-6455-4d90-8cbc-12ab9b8de181,FIAGRO - PG_SI_APP_APP_READER - SNOW_RAW_STATUS_INVEST,Giovanni Vargas,active,cron,0 30 6 * * ? America/Sao_Paulo,success,2026-08-31T09:30:01Z,97.6,585,success|success|success|success|success|success|success|success|success|success,2026-08-22T09:30:01Z|2026-08-23T09:30:01Z|2026-08-24T09:30:01Z|2026-08-25T09:30:01Z|2026-08-26T09:30:01Z|2026-08-27T09:30:01Z|2026-08-28T09:30:01Z|2026-08-29T09:30:01Z|2026-08-30T09:30:01Z|2026-08-31T09:30:01Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/6f8f89d8-6455-4d90-8cbc-12ab9b8de181/status
e1214b2b-0a97-4aa5-ac0e-254489ae6509,Google Sheets - Cadastro Consultoria → Snowflake,André Camacho,active,cron,0 0 6 * * ? America/Sao_Paulo,success,2026-08-31T09:00:05Z,99.4,167,success|success|success|success|success|success|success|success|success|success,2026-08-22T09:00:04Z|2026-08-23T09:00:05Z|2026-08-24T09:00:04Z|2026-08-25T09:00:05Z|2026-08-26T09:00:06Z|2026-08-27T09:00:02Z|2026-08-28T09:00:06Z|2026-08-29T09:00:05Z|2026-08-30T09:00:05Z|2026-08-31T09:00:05Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/e1214b2b-0a97-4aa5-ac0e-254489ae6509/status
37b07f80-2700-4fe9-a10e-62294b624fd8,Google Sheets - SUNOCODE 03/2025 → Snowflake - RAW_MARKETING - MARKETING,Giovanni Vargas,inactive,cron,0 0 9 * * ? UTC,success,2025-04-30T09:00:02Z,100.0,53,success|success|success|success|success|success|success|success|success|success,2025-04-21T09:00:02Z|2025-04-22T09:00:02Z|2025-04-23T09:00:02Z|2025-04-24T09:00:01Z|2025-04-25T09:00:02Z|2025-04-26T09:00:02Z|2025-04-27T09:00:02Z|2025-04-28T09:00:02Z|2025-04-29T09:00:02Z|2025-04-30T09:00:02Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/37b07f80-2700-4fe9-a10e-62294b624fd8/status
d7c2d4ae-ffc2-4141-b0e3-c968cdbec711,Google Sheets - BASES CS4 - Acompanhamento Produção Emissão → Snowflake RAW_SUNO_LEGADO - ASSESSORIA,André Camacho,active,cron,0 0 12 * * ? America/Sao_Paulo,success,2026-08-31T15:00:05Z,100.0,467,success|success|success|success|success|success|success|success|success|success,2026-08-22T15:00:04Z|2026-08-23T15:00:03Z|2026-08-24T15:00:04Z|2026-08-25T15:00:06Z|2026-08-26T15:00:03Z|2026-08-27T15:00Z|2026-08-28T15:00:05Z|2026-08-29T15:00:05Z|2026-08-30T15:00:05Z|2026-08-31T15:00:05Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/d7c2d4ae-ffc2-4141-b0e3-c968cdbec711/status
237199f0-4810-4613-8229-c6904f3b57e3,Google Sheets - META_LEADS → Snowflake - RAW_MARKETING - MARKETING,Giovanni Vargas,active,cron,"0 0 14,16 * * ? America/Sao_Paulo",success,2026-08-31T19:00:04Z,100.0,930,success|success|success|success|success|success|success|success|success|success,2026-08-27T17:00:01Z|2026-08-27T19:00Z|2026-08-28T17:00:05Z|2026-08-28T19:00:04Z|2026-08-29T17:00:04Z|2026-08-29T19:00:04Z|2026-08-30T17:00:04Z|2026-08-30T19:00:04Z|2026-08-31T17:00:04Z|2026-08-31T19:00:04Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/237199f0-4810-4613-8229-c6904f3b57e3/status
32ef74b7-bf18-460b-91fc-f34b1e1de958,PAYMENTS - PG_SUNO - SNOW_RAW_SUNO_LEGADO,Giovanni Vargas,active,cron,0 0 16 * * ? America/Sao_Paulo,success,2026-08-31T19:00:04Z,99.4,4744,success|success|success|success|success|success|success|success|success|success,2026-08-22T19:00:03Z|2026-08-23T19:00:03Z|2026-08-24T19:00:03Z|2026-08-25T19:00:04Z|2026-08-26T19:00:01Z|2026-08-27T19:00Z|2026-08-28T19:00:04Z|2026-08-29T19:00:03Z|2026-08-30T19:00:04Z|2026-08-31T19:00:04Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/32ef74b7-bf18-460b-91fc-f34b1e1de958/status
677151fb-7c9d-49e1-ae89-5afc9ec983c3,STATISTICS - PG_SI_APP_READER - SNOW_RAW_STATUS_INVEST,Giovanni Vargas,active,cron,0 0 7 * * ? America/Sao_Paulo,success,2026-08-31T10:00:03Z,97.9,580,success|success|success|success|success|success|success|success|success|success,2026-08-22T10:00:03Z|2026-08-23T10:00:03Z|2026-08-24T10:00:03Z|2026-08-25T10:00:03Z|2026-08-26T10:00:03Z|2026-08-27T10:00Z|2026-08-28T10:00:04Z|2026-08-29T10:00:04Z|2026-08-30T10:00:03Z|2026-08-31T10:00:03Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/677151fb-7c9d-49e1-ae89-5afc9ec983c3/status
