bu,database,schema,tabela,fqn,om_url,snowflake_url,tem_descricao,tem_owner,testes_total,testes_falha,testes_sucesso,testes_sem_execucao
A REVISAR,RAW_SUNO_LEGADO,ASSET,BTG_POSITIONS_DETAIL,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.BTG_POSITIONS_DETAIL,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.BTG_POSITIONS_DETAIL,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/BTG_POSITIONS_DETAIL,Não,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,CALENDARIO_COMPLETO_ANBIMA,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.CALENDARIO_COMPLETO_ANBIMA,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.CALENDARIO_COMPLETO_ANBIMA,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/CALENDARIO_COMPLETO_ANBIMA,Não,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,CONTROL_FUNDS_POSITIONS,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.CONTROL_FUNDS_POSITIONS,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.CONTROL_FUNDS_POSITIONS,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/CONTROL_FUNDS_POSITIONS,Não,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,DEBENTURES_INCENTIVADAS_ANBIMA,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.DEBENTURES_INCENTIVADAS_ANBIMA,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.DEBENTURES_INCENTIVADAS_ANBIMA,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/DEBENTURES_INCENTIVADAS_ANBIMA,Não,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,DIAS_UTEIS_BOLSA_ANBIMA,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.DIAS_UTEIS_BOLSA_ANBIMA,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.DIAS_UTEIS_BOLSA_ANBIMA,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/DIAS_UTEIS_BOLSA_ANBIMA,Não,Sim,0,0,0,0
A REVISAR,SERVING_LAYER,ASSET,DT_FUNDOS_ASSET_DATA,Suno SnowFlake.SERVING_LAYER.ASSET.DT_FUNDOS_ASSET_DATA,http://2.24.76.116:8585/table/Suno%20SnowFlake.SERVING_LAYER.ASSET.DT_FUNDOS_ASSET_DATA,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/SERVING_LAYER/schemas/ASSET/dynamic-table/DT_FUNDOS_ASSET_DATA,Não,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,FRAMEWORK_FUNDS_PERFORMIT,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.FRAMEWORK_FUNDS_PERFORMIT,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.FRAMEWORK_FUNDS_PERFORMIT,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/FRAMEWORK_FUNDS_PERFORMIT,Não,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,FRAMEWORK_FUNDS_PERFORMIT_HISTORICO,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.FRAMEWORK_FUNDS_PERFORMIT_HISTORICO,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.FRAMEWORK_FUNDS_PERFORMIT_HISTORICO,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/FRAMEWORK_FUNDS_PERFORMIT_HISTORICO,Não,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,FUNDS_POSITIONS_BTG,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.FUNDS_POSITIONS_BTG,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.FUNDS_POSITIONS_BTG,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/FUNDS_POSITIONS_BTG,Não,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,FUNDS_POSITIONS_SINGULARE,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.FUNDS_POSITIONS_SINGULARE,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.FUNDS_POSITIONS_SINGULARE,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/FUNDS_POSITIONS_SINGULARE,Não,Sim,0,0,0,0
