id,nome,servico,ultimo_status,ultima_execucao,duracao_min,cron
c5ae6d21-6dfa-4545-8155-71e410cda215,Metadata Agent,Suno Airflow,success,2026-09-01T12:04:40.991000+00:00,159.1,0 12 * * *
aeee7dac-87b1-4698-becf-c53cb7b6f9c9,Suno_AirByte_metadata_hHAF0BY6,Suno AirByte,failed,2026-08-31T12:02:20.693000+00:00,50.9,0 12 * * *
