id,nome,ultimo_status,ultima_execucao,taxa_sucesso_pct,coletado_em
23812f93-58f6-468b-a5f4-c2a9c597b7c1,Google Ads → Snowflake - RAW_MARKETING - GOOGLE_ADS,success,2026-08-27T07:00Z,92.8,2026-08-27T14:20:47.417605+00:00
5b35b2b4-fb38-4d83-ae06-066495670a3c,Google Sheets - Sunocode 02/2025 → Snowflake - RAW_MARKETING - MARKETING,success,2025-03-06T13:34:54Z,100.0,2026-08-27T14:20:47.417607+00:00
a9a043df-a023-4ae0-8a0a-8947f262ea54,HubSpot → Snowflake - RAW_MARKETING_CRM,failed,2025-04-10T23:41:10Z,20.0,2026-08-27T14:20:47.417609+00:00
8bdd9242-6ee0-44c5-a899-bf133697f807,Postgres PROJ IA → Snowflake RAW_SUNO_LEGADO.PROJ_IA_WA_RS,success,2026-08-27T06:00Z,99.7,2026-08-27T14:20:47.417611+00:00
d4999940-c81c-4069-a501-c999fd89bc67,Google Sheets - BI Cotação USD → Snowflake RAW_SUNO_LEGADO - ASSESSORIA,success,2026-08-27T14:00:01Z,100.0,2026-08-27T14:20:47.417614+00:00
1d0b3025-c7a6-4d41-b3a6-dd7039dac570,Google Sheets - METAS_DIA_CANAL_ACAO → Snowflake - RAW_MARKETING - MARKETING,success,2026-08-27T11:30:01Z,99.7,2026-08-27T14:20:47.417616+00:00
b5e074b9-b16c-4039-92d4-da8e7bc974c6,WALLET - PG_SI_WALLET_READER POSITIONBROKER → SNOW_RAW_STATUS_INVEST,success,2026-08-27T09:00Z,97.8,2026-08-27T14:20:47.417618+00:00
208fb32f-1548-409d-8550-b81cd89aff35,Google Sheets - Sunocode 01/2025 → Snowflake - RAW_MARKETING - MARKETING,success,2025-02-20T17:00:07Z,100.0,2026-08-27T14:20:47.417620+00:00
05c4b87d-a3af-446a-b4cc-cbf6c2a48f23,Google Sheets → Snowflake - RAW_MARKETING - MARKETING,success,2026-08-27T09:00:03Z,99.9,2026-08-27T14:20:47.417622+00:00
73455d19-5318-4c5c-aa52-c3c71c8d2ef5,BDRS - PG_SI_APP_READER - SNOW_RAW_STATUS_INVEST,success,2026-08-27T08:30:01Z,97.4,2026-08-27T14:20:47.417625+00:00
8e574285-cff1-4cba-b457-644a2abbeae0,Instagram MEDIA → Snowflake - RAW_MARKETING - INSTAGRAM,running,2026-08-26T04:00:03Z,96.1,2026-08-27T14:20:47.417627+00:00
98b24884-de24-4d7e-b484-8570148ca856,Google Sheets - SUNOCODE 07/2025 → Snowflake - RAW_MARKETING - MARKETING,success,2025-08-18T09:00:04Z,100.0,2026-08-27T14:20:47.417629+00:00
e2b9284c-420a-4c6c-b071-d524bbc943de,Google Sheets - SUNOCODE 05/2025 → Snowflake - RAW_MARKETING - MARKETING,success,2025-06-09T09:00:03Z,100.0,2026-08-27T14:20:47.417631+00:00
a4525850-86b3-41bb-afb6-730925c715d1,Google Sheets - COMUNIDADE_VIVA_DIVIDENDOS_CONTATOS → Snowflake - RAW_MARKETING - MARKETING,success,2026-08-26T17:00Z,100.0,2026-08-27T14:20:47.417634+00:00
4510372f-9143-4e2d-b03c-7812605ee9ec,Google Sheets - WEALTH → Snowflake - WEALTH,success,2026-08-26T16:00:01Z,100.0,2026-08-27T14:20:47.417636+00:00
51a1d5d9-107e-4a66-b6c7-c47253b79e18,STOCKS - PG_SI_APP_READER - SNOW_RAW_STATUS_INVEST,success,2026-08-27T08:00Z,97.4,2026-08-27T14:20:47.417638+00:00
09272f7c-2474-4648-a562-772718632c79,Google Sheets - Bases XP - Ajuste → Snowflake RAW_SUNO_LEGADO - ASSESSORIA,success,2025-05-21T22:06:41Z,100.0,2026-08-27T14:20:47.417640+00:00
ce0fe804-a5b4-41bb-8756-a5f0cfd8ca88,Postgres - Status Invest - Wallet Reader → Snowflake - RAW STATUS_INVEST,success,2026-08-26T20:44:04Z,100.0,2026-08-27T14:20:47.417642+00:00
3386e6ff-87cf-4c56-aca7-7da141afeef7,Salesforce → Snowflake - RAW_SALESFORCE - Salesforce,running,2026-08-27T14:00:08Z,90.2,2026-08-27T14:20:47.417645+00:00
875f4425-a9b7-45d8-98b5-b2943fb2a7b5,Google Sheets - BI QTD_ASSESSORES → Snowflake RAW_SUNO_LEGADO - ASSESSORIA,success,2026-08-26T16:00Z,100.0,2026-08-27T14:20:47.417647+00:00
970d6a52-44b6-44b9-bf78-0876315b21b5,Facebook Marketing - Suno Research → Snowflake - MIDIAS_PAGAS,skipped,2025-11-06T22:54:19Z,0.0,2026-08-27T14:20:47.417649+00:00
ec4c514b-8b0c-4292-866c-b212c903d0ba,SECURITY - PG_SI_APP_READER - SNOW_RAW_STATUS_INVEST,success,2026-08-27T08:00Z,98.9,2026-08-27T14:20:47.417651+00:00
2e56b056-2f59-46a2-834f-4b2d4867109d,Postgres - datahub → Snowflake - RAW_SUNO_LEGADO - HOTMART,success,2025-08-06T00:00:21Z,100.0,2026-08-27T14:20:47.417653+00:00
0d98f09b-148c-427c-b35b-79fd89daa949,Postgres - SUNO CORE PROD → Snowflake - RAW_SUNO_CORE  - SUNO_CORE_PROD,success,2026-08-27T14:00:08Z,99.8,2026-08-27T14:20:47.417655+00:00
c9de6ee6-dd80-4b14-bf4a-5b790f8396e1,Google Sheets - PVP_QUANTUM → Snowflake - RAW_SUNO_LEGADO - ASSET,success,2026-08-27T04:00Z,99.6,2026-08-27T14:20:47.417658+00:00
5bd74dda-e532-4e92-a543-05498761c901,Google Sheets - MAGNET VS NEGÓCIO → Snowflake - RAW_MARKETING - MARKETING,success,2026-08-27T09:00Z,99.7,2026-08-27T14:20:47.417660+00:00
d77e3767-049a-47dd-a225-7e4a265b3643,INDICES - PG_SI_APP_READER - SNOW_RAW_STATUS_INVEST,success,2026-08-27T09:00:03Z,97.4,2026-08-27T14:20:47.417662+00:00
8e8b87e5-a182-48f4-ab84-82212216f1a3,Snowflake-SERVING_LAYER-MARKETING → Supabase - Production,skipped,2026-03-25T18:05:16Z,,2026-08-27T14:20:47.417664+00:00
4f870f22-cc2a-4fe1-8846-1845e65ebfee,WALLET - PG_SI_WALLET_READER→ SNOW_RAW_STATUS_INVEST,success,2026-08-27T10:30:01Z,96.9,2026-08-27T14:20:47.417667+00:00
d56a1404-2429-48c8-a012-0906df3fee69,Postgres SUNO app_api → Snowflake RAW SUNO_LEGADO,success,2026-08-27T10:00:01Z,99.8,2026-08-27T14:20:47.417669+00:00
c60853ed-b9da-417c-ba82-a18cea427ba6,Postgres - SUNO CORE DEV → Snowflake RAW_SUNO_CORE_DEV,success,2026-07-14T13:54:55Z,96.5,2026-08-27T14:20:47.417671+00:00
82aa51f9-b0ca-48a0-9aef-a0e3a54aa042,Postgres SUNO app_api PHONE_VALIDATION → Snowflake RAW SUNO_LEGADO,failed,2026-03-05T20:00Z,99.6,2026-08-27T14:20:47.417673+00:00
ceeffe40-4951-4206-9699-58d9a093c46d,Google Sheets - META ANIVERSARIO 2025 → Snowflake - RAW_MARKETING - MARKETING,success,2026-08-27T12:00:01Z,99.8,2026-08-27T14:20:47.417675+00:00
0977051e-a19b-4140-ace3-a67ec1775fe7,Google Sheets - WEALTH_AUM_XP_US → Snowflake - RAW_SUNO_LEGADO - WEALTH,success,2026-08-26T16:30:01Z,100.0,2026-08-27T14:20:47.417677+00:00
f4587ca1-786f-464a-bd15-fee6cac2cc56,Google Sheets - SUNOCODE 11/2025 → Snowflake - RAW_MARKETING - MARKETING,success,2026-08-26T18:35:37Z,99.9,2026-08-27T14:20:47.417679+00:00
56f0de5d-aa42-4d53-b757-12940e91f589,Instagram → Snowflake - RAW_MARKETING - INSTAGRAM,success,2026-08-27T09:00Z,98.4,2026-08-27T14:20:47.417681+00:00
4f0ec015-8a73-45fb-9b1e-a8cdfe393c1a,HOURLY UPDATE - Salesforce → Snowflake - RAW_SALESFORCE - Salesforce,success,2026-08-27T13:00:01Z,88.1,2026-08-27T14:20:47.417684+00:00
8ba67994-cc7a-46fa-9527-4c2993907dde,INDEXERS - PG_SI_APP_READER - SNOW_RAW_STATUS_INVEST,success,2026-08-27T09:30:01Z,97.8,2026-08-27T14:20:47.417686+00:00
d922614d-c46d-446a-9040-b3f0370d2097,Monday - CONSULTORIA STVM → Snowflake - CONSULTORIA MONDAY,success,2026-08-27T05:00Z,100.0,2026-08-27T14:20:47.417688+00:00
f89fe5f6-595b-4b6c-8cd5-e346e114cca4,Google Sheets - POWER_AUTOMATE → Snowflake - RAW_SUNO_LEGADO - SUNO,failed,2026-03-05T19:30:01Z,99.7,2026-08-27T14:20:47.417690+00:00
0c62a057-9854-4432-894d-2fa7e175a1b9,Amazon SQS - SUBSCRIBER_EVENTS → S3 - SQS - CSV,skipped,2025-04-04T13:04:29Z,100.0,2026-08-27T14:20:47.417692+00:00
846e257d-8302-481c-bb01-11ba8b4eb733,Google Sheets - BASE_METAS MARKETING → Snowflake - RAW_MARKETING - MARKETING,success,2026-08-27T12:00Z,99.8,2026-08-27T14:20:47.417695+00:00
3f56310d-ffc2-4149-9f6a-15124ff7f382,Google Sheets - ASSET_LISTA_CRIS → Snowflake - RAW_SUNO_LEGADO - ASSET,success,2026-08-27T11:00Z,98.8,2026-08-27T14:20:47.417697+00:00
df9cd9ea-3317-4020-b675-515fe764ebb2,FUNDOSINVESTIMENTOS - PG_SI_APP_READER - SNOW_RAW_STATUS_INVEST,success,2026-08-27T08:30:01Z,97.4,2026-08-27T14:20:47.417699+00:00
748a5e2b-7de9-49b5-bba7-50edfb444752,SQL Server - NEXXUS - SUNO → Snowflake RAW.NEXXUS,success,2026-08-27T14:05:48Z,100.0,2026-08-27T14:20:47.417701+00:00
0987bf5b-66f1-4e90-90a9-e48813fa232a,Google Sheets - Clientes Consultoria → Snowflake - RAW_SUNO_LEGADO - CONSULTORIA,success,2026-08-27T09:00:02Z,99.9,2026-08-27T14:20:47.417703+00:00
37fb6f66-435c-45a4-b101-d10ddebd0133,Google Sheets - SALDOS_BTG_XP → Snowflake - RAW_SUNO_LEGADO - ASSET,success,2026-08-26T16:30:01Z,99.4,2026-08-27T14:20:47.417705+00:00
12ed3b4d-4f9a-4281-8547-e177c74f015b,BASE - PG_SI_APP_APP_READER - SNOW_RAW_STATUS_INVEST,success,2026-08-27T08:00:01Z,97.8,2026-08-27T14:20:47.417720+00:00
963d963d-c99b-491c-8b2f-888932896b47,YouTube Analytics - Baroni → Snowflake - RAW_MARKETING - YOUTUBE,success,2025-07-15T01:00:03Z,85.2,2026-08-27T14:20:47.417723+00:00
061a3c2d-cf9e-4a16-b24f-21c732aceaad,MEMBROS_WP -  PG_SUNO - SNOW_RAW_SUNO_LEGADO,success,2025-08-10T04:00:03Z,100.0,2026-08-27T14:20:47.417726+00:00
5cff4403-60e7-49ba-8ded-23d0b12b387f,Postgres - SUNO MINUTO → Snowflake RAW SUNO_LEGADO,success,2026-08-27T05:00Z,99.7,2026-08-27T14:20:47.417728+00:00
4a1fe662-2fbc-4af0-8741-862a90733fba,WALLETSTATISTICS - PG_SI_WALLET_READER DAILYSTATISTICS→ SNOW_RAW_STATUS_INVEST,skipped,2025-11-17T19:59:26Z,98.1,2026-08-27T14:20:47.417730+00:00
0dabe0fa-c09c-4f19-8243-af7274405a7f,Google Sheets - BI METAS → Snowflake RAW_SUNO_LEGADO - ASSESSORIA,success,2026-08-26T15:00:03Z,100.0,2026-08-27T14:20:47.417732+00:00
